originals	tokenized	transliterated
aangemaakt	aa n g e m aa k t	a n ɣ ə m a k t
aangemeld	aa n g e m e l d	a n ɣ ə m ɛ l t
aangemerkt	aa n g e m e r k t	a n ɣ ə m ɛ r k t
aangenaam	aa n g e n aa m	a n ɣ ə n a m
aangename	aa n g e n a m e	a n ɣ ə n a m ə
aangenamekruidige	aa n g e n a m e k r ui d i g e	a n ɣ ə n a m ɛ k r œy d ə ɣ ə
aangenomen	aa n g e n o m e n	a n ɣ ə n o m ə n
aangepakt	aa n g e p a k t	a n ɣ ə p ɑ k t
aangepast	aa n g e p a s t	a n ɣ ə p ɑ s t
Aangepast	Aa n g e p a s t	a n ɣ ə p ɑ s t
aangepaste	aa n g e p a s t e	a n ɣ ə p ɑ s t ə
aangeraden	aa n g e r a d e n	a n ɣ ə r a d ə n
aangereden	aa n g e r e d e n	a n ɣ ə r e d ə n
aangereikt	aa n g e r ei k t	a n ɣ ə r ɛɪ k t
aangerimpelde	aa n g e r i m p e l d e	a n ɣ ə r ɪ m p ɛ l d ə
aangeroepen	aa n g e r oe p e n	a n ɣ ə r u p ə n
aangeschaft	aa n g e s ch a f t	a n ɣ ə s x ɑ f t
aangeschoven	aa n g e s ch o v e n	a n ɣ ə s x o v ə n
aangesloten	aa n g e s l o t e n	a n ɣ ə s l o t ə n
aangespoeld	aa n g e s p oe l d	a n ɣ ə s p u l t
Aangespoord	Aa n g e s p oo r d	a n ɣ ə s p o r t
aangesproken	aa n g e s p r o k e n	a n ɣ ə s p r o k ə n
aangesteld	aa n g e s t e l d	a n ɣ ə s t ɛ l t
aangestoken	aa n g e s t o k e n	a n ɣ ə s t o k ə n
aangetast	aa n g e t a s t	a n ɣ ə t ɑ s t
aangetekend	aa n g e t e k e n d	a n ɣ ə t e k ɛ n t
aangetoond	aa n g e t oo n d	a n ɣ ə t o n t
aangetroffen	aa n g e t r o ff e n	a n ɣ ə t r ɔ f ə n
aangetrokken	aa n g e t r o kk e n	a n ɣ ə t r ɔ k ə n
aangevallen	aa n g e v a ll e n	a n ɣ ə v ɑ l ə n
aangeven	aa n g e v e n	a n ɣ ə v ə n
aangever	aa n g e v e r	a n ɣ ə v ə r
aangevinkt	aa n g e v i n k t	a n ɣ ə v ɪ ŋ k t
aangevraagd	aa n g e v r aa g d	a n ɣ ə v r a ɣ t
aangevuld	aa n g e v u l d	a n ɣ ə v œ l t
aangewezen	aa n g e w e z e n	a n ɣ ə ʋ e z ə n
aangezichtspijn	aa n g e z i ch t s p ij n	a n ɣ ə z ɪ x t s p ɛɪ n
aangezien	aa n g e z ie n	a n ɣ ə z i n
Aangezien	Aa n g e z ie n	a n ɣ ə z i n
aangifte	aa n g i f t e	a n ɣ ɪ f t ə
aangifteformulier	aa n g i f t e f o r m u l ie r	a n ɣ ɪ f t e f ɔ r m y l i r
aangrenzende	aa n g r e n z e n d e	a n ɣ r ɛ n z ɛ n d ə
aangrijpende	aa n g r ij p e n d e	a n ɣ r ɛɪ p ɛ n d ə
Aangroei	Aa n g r oei	a n ɣ r ui
aangroeiden	aa n g r oei d e n	a n ɣ r ui d ə n
aanhang	aa n h a ng	a n h ɑ ŋ
aanhanger	aa n h a ng e r	a n h ɑ ŋ ə r
aanhangers	aa n h a ng e r s	a n h ɑ ŋ ə r s
aanhangig	aa n h a ng i g	a n h ɑ ŋ ə ɣ
aanhouden	aa n h ou d e n	a n h ɑu d ə n
aanhoudende	aa n h ou d e n d e	a n h ɑu d ɛ n d ə
aanhouding	aa n h ou d i ng	a n h ɑu d ɪ ŋ
aanhoudingen	aa n h ou d i ng e n	a n h ɑu d ɪ ŋ ə n
aankan	aa n k a n	a ŋ k ɑ n
aanklachten	aa n k l a ch t e n	a ŋ k l ɑ x t ə n
aankleding	aa n k l e d i ng	a ŋ k l e d ɪ ŋ
aankloppen	aa n k l o pp e n	a ŋ k l ɔ p ə n
aanknopingspunten	aa n k n o p i ng s p u n t e n	a ŋ k n o p ɪ ŋ s p œ n t ə n
aankomend	aa n k o m e n d	a ŋ k o m ɛ n t
aankomende	aa n k o m e n d e	a ŋ k o m ɛ n d ə
aankomst	aa n k o m s t	a ŋ k ɔ m s t
Aankomst	Aa n k o m s t	a ŋ k ɔ m s t
aankomsttijden	aa n k o m s tt ij d e n	a ŋ k ɔ m s t ɛɪ d ə n
aankomt	aa n k o m t	a ŋ k ɔ m t
aankondiging	aa n k o n d i g i ng	a ŋ k ɔ n d i ɣ ɪ ŋ
aankoop	aa n k oo p	a ŋ k o p
Aankoop	Aa n k oo p	a ŋ k o p
aankopen	aa n k o p e n	a ŋ k o p ə n
aankwamen	aa n k w a m e n	a ŋ k ʋ a m ə n
aanleg	aa n l e g	a n l ɛ ɣ
Aanleg	Aa n l e g	a n l ɛ ɣ
aanleggen	aa n l e gg e n	a n l ɛ ɣ ə n
aanlegging	aa n l e gg i ng	a n l ɛ ɣ ɪ ŋ
aanleiding	aa n l ei d i ng	a n l ɛɪ d ɪ ŋ
Aanleiding	Aa n l ei d i ng	a n l ɛɪ d ɪ ŋ
aanleren	aa n l e r e n	a n l e r ə n
aanleunen	aa n l eu n e n	a n l ø n ə n
aanliggen	aa n l i gg e n	a n l ɪ ɣ ə n
aanloop	aa n l oo p	a n l o p
aanmaakt	aa n m aa k t	a n m a k t
aanmaken	aa n m a k e n	a n m a k ə n
aanmeld	aa n m e l d	a n m ɛ l t
aanmeldcentrum	aa n m e l d c e n t r u m	a n m ɛ l t s ɛ n t r œ m
aanmelden	aa n m e l d e n	a n m ɛ l d ə n
Aanmelden	Aa n m e l d e n	a n m ɛ l d ə n
aanmelding	aa n m e l d i ng	a n m ɛ l d ɪ ŋ
aanmeldingen	aa n m e l d i ng e n	a n m ɛ l d ɪ ŋ ə n
aanmeldingsformulier	aa n m e l d i ng s f o r m u l ie r	a n m ɛ l d ɪ ŋ s f ɔ r m y l i r
aanmerking	aa n m e r k i ng	a n m ɛ r k ɪ ŋ
aanmoedigingspremie	aa n m oe d i g i ng s p r e m ie	a n m u d i ɣ ɪ ŋ s p r e m i
aannam	aa nn a m	a n ɑ m
aanname	aa nn a m e	a n a m ə
aanneemt	aa nn ee m t	a n e m t
aannemelijk	aa nn e m e l ij k	a n e m e l ə k
aannemen	aa nn e m e n	a n e m ə n
aannemers	aa nn e m e r s	a n e m ɛ r s
Aannemingsbedrijf	Aa nn e m i ng s b e d r ij f	a n e m ɪ ŋ s b ə d r ɛɪ f
aanpak	aa n p a k	a n p ɑ k
aanpakken	aa n p a kk e n	a n p ɑ k ə n
aanpassen	aa n p a ss e n	a n p ɑ s ə n
aanpassing	aa n p a ss i ng	a n p ɑ s ɪ ŋ
aanpassingen	aa n p a ss i ng e n	a n p ɑ s ɪ ŋ ə n
aanplanten	aa n p l a n t e n	a n p l ɑ n t ə n
aanraden	aa n r a d e n	a n r a d ə n
aanrader	aa n r a d e r	a n r a d ə r
aanraken	aa n r a k e n	a n r a k ə n
aanraking	aa n r a k i ng	a n r a k ɪ ŋ
aanrecht	aa n r e ch t	a n r ɛ x t
aanrennen	aa n r e nn e n	a n r ɛ n ə n
aanrijding	aa n r ij d i ng	a n r ɛɪ d ɪ ŋ
aanschaf	aa n s ch a f	a n s x ɑ f
aanscherpen	aa n s ch e r p e n	a n s x ɛ r p ə n
aanschouwt	aa n s ch ou w t	a n s x ɑu ʋ t
aanslaan	aa n s l aa n	a n s l a n
aanslag	aa n s l a g	a n s l ɑ ɣ
aanslagen	aa n s l a g e n	a n s l a ɣ ə n
aanslagstuk	aa n s l a g s t u k	a n s l ɑ ɣ s t œ k
aanslepende	aa n s l e p e n d e	a n s l e p ɛ n d ə
aansloot	aa n s l oo t	a n s l o t
aansluit	aa n s l ui t	a n s l œy t
aansluiten	aa n s l ui t e n	a n s l œy t ə n
aansluitend	aa n s l ui t e n d	a n s l œy t ɛ n t
Aansluitend	Aa n s l ui t e n d	a n s l œy t ɛ n t
aansluiting	aa n s l ui t i ng	a n s l œy t ɪ ŋ
aanspraak	aa n s p r aa k	a n s p r a k
aansprakelijk	aa n s p r a k e l ij k	a n s p r a k e l ə k
aansprakelijkheid	aa n s p r a k e l ij k h ei d	a n s p r a k e l ə k h ɛɪ t
Aansprakelijkheidsrecht	Aa n s p r a k e l ij k h ei d s r e ch t	a n s p r a k e l ə k h ɛɪ t s r ɛ x t
aansprakelijkheidsverzekering	aa n s p r a k e l ij k h ei d s v e r z e k e r i ng	a n s p r a k e l ə k h ɛɪ t s v ɛ r z e k e r ɪ ŋ
aanspreekt	aa n s p r ee k t	a n s p r e k t
aansprekend	aa n s p r e k e n d	a n s p r e k ɛ n t
aansprekende	aa n s p r e k e n d e	a n s p r e k ɛ n d ə
aanstaande	aa n s t aa n d e	a n s t a n d ə
aanstaat	aa n s t aa t	a n s t a t
aanstelling	aa n s t e ll i ng	a n s t ɛ l ɪ ŋ
aanstormend	aa n s t o r m e n d	a n s t ɔ r m ɛ n t
aantal	aa n t a l	a n t ɑ l
Aantal	Aa n t a l	a n t ɑ l
aantallen	aa n t a ll e n	a n t ɑ l ə n
aantasten	aa n t a s t e n	a n t ɑ s t ə n
aantasting	aa n t a s t i ng	a n t ɑ s t ɪ ŋ
aantijging	aa n t ij g i ng	a n t ɛɪ ɣ ɪ ŋ
aantoonbaar	aa n t oo n b aa r	a n t o n b a r
aantreffen	aa n t r e ff e n	a n t r ɛ f ə n
aantreft	aa n t r e f t	a n t r ɛ f t
aantrekkelijk	aa n t r e kk e l ij k	a n t r ɛ k e l ə k
aantrekkelijke	aa n t r e kk e l ij k e	a n t r ɛ k e l ə k ə
aantrekkelijkere	aa n t r e kk e l ij k e r e	a n t r ɛ k e l ə k e r ə
aantrekken	aa n t r e kk e n	a n t r ɛ k ə n
aantrekkingskracht	aa n t r e kk i ng s k r a ch t	a n t r ɛ k ɪ ŋ s k r ɑ x t
aantrekt	aa n t r e k t	a n t r ɛ k t
aantrof	aa n t r o f	a n t r ɔ f
aanvaard	aa n v aa r d	a n v a r t
aanvaardbare	aa n v aa r d b a r e	a n v a r t b a r ə
aanvaarden	aa n v aa r d e n	a n v a r d ə n
aanvaardt	aa n v aa r dt	a n v a r t
aanval	aa n v a l	a n v ɑ l
aanvallen	aa n v a ll e n	a n v ɑ l ə n
aanvallend	aa n v a ll e n d	a n v ɑ l ɛ n t
aanvaller	aa n v a ll e r	a n v ɑ l ə r
aanvalslinie	aa n v a l s l i n ie	a n v ɑ l s l i n i
aanvalt	aa n v a l t	a n v ɑ l t
aanvang	aa n v a ng	a n v ɑ ŋ
Aanvang	Aa n v a ng	a n v ɑ ŋ
aanvangen	aa n v a ng e n	a n v ɑ ŋ ə n
aanvankelijk	aa n v a n k e l ij k	a n v ɑ ŋ k e l ə k
Aanvankelijk	Aa n v a n k e l ij k	a n v ɑ ŋ k e l ə k
aanvaring	aa n v a r i ng	a n v a r ɪ ŋ
aanverwante	aa n v e r w a n t e	a n v e r ʋ ɑ n t ə
aanvoelt	aa n v oe l t	a n v u l t
Aanvoerder	Aa n v oe r d e r	a n v u r d ə r
aanvraag	aa n v r aa g	a n v r a ɣ
aanvraagfomulier	aa n v r aa g f o m u l ie r	a n v r a ɣ f o m y l i r
aanvraagformulier	aa n v r aa g f o r m u l ie r	a n v r a ɣ f ɔ r m y l i r
Aanvraagformulier	Aa n v r aa g f o r m u l ie r	a n v r a ɣ f ɔ r m y l i r
aanvragen	aa n v r a g e n	a n v r a ɣ ə n
aanvragers	aa n v r a g e r s	a n v r a ɣ ə r s
aanvullend	aa n v u ll e n d	a n v œ l ɛ n t
aanvullende	aa n v u ll e n d e	a n v œ l ɛ n d ə
aanvulling	aa n v u ll i ng	a n v œ l ɪ ŋ
aanvullingen	aa n v u ll i ng e n	a n v œ l ɪ ŋ ə n
aanwend	aa n w e n d	a n ʋ ɛ n t
aanwezig	aa n w e z i g	a n ʋ e z ə ɣ
Aanwezig	Aa n w e z i g	a n ʋ e z ə ɣ
aanwezige	aa n w e z i g e	a n ʋ e z ə ɣ ə
aanwezigen	aa n w e z i g e n	a n ʋ e z ə ɣ ə n
aanwezigheid	aa n w e z i gh ei d	a n ʋ e z i g ɛɪ t
aanwijsbare	aa n w ij s b a r e	a n ʋ ɛɪ s b a r ə
aanwijzende	aa n w ij z e n d e	a n ʋ ɛɪ z ɛ n d ə
aanwijzing	aa n w ij z i ng	a n ʋ ɛɪ z ɪ ŋ
aanwijzingen	aa n w ij z i ng e n	a n ʋ ɛɪ z ɪ ŋ ə n
aanwijzingsgebied	aa n w ij z i ng s g e b ie d	a n ʋ ɛɪ z ɪ ŋ s ɣ ə b i t
aanwinst	aa n w i n s t	a n ʋ ɪ n s t
aanzet	aa n z e t	a n z ɛ t
aanzetstaal	aa n z e t s t aa l	a n z ɛ t s t a l
aanzetten	aa n z e tt e n	a n z ɛ t ə n
aanzicht	aa n z i ch t	a n z ɪ x t
aanzien	aa n z ie n	a n z i n
aanzienlijk	aa n z ie n l ij k	a n z i n l ə k
aanzienlijke	aa n z ie n l ij k e	a n z i n l ə k ə
Aanzit	Aa n z i t	a n z ɪ t
aap	aa p	a p
Aar	Aa r	a r
aarappelschijfjes	aa r a pp e l s ch ij f j e s	a r ɑ p ɛ l s x ɛɪ f j ɛ s
aard	aa r d	a r t
aard-gevoelens	aa r d - g e v oe l e n s	a r d ɣ ə v u l ɛ n s
aardappels	aa r d a pp e l s	a r d ɑ p ɛ l s
aardappelschijfjes	aa r d a pp e l s ch ij f j e s	a r d ɑ p ɛ l s x ɛɪ f j ɛ s
aardbeien	aa r d b ei e n	a r t b ɛɪ ə n
aarde	aa r d e	a r d ə
Aarde	Aa r d e	a r d ə
aardewerkscherven	aa r d e w e r k s ch e r v e n	a r d e ʋ ɛ r k s x ɛ r v ə n
aardgas	aa r d g a s	a r t ɣ ɑ s
Aardgasbaten	Aa r d g a s b a t e n	a r t ɣ ɑ s b a t ə n
aardig	aa r d i g	a r d ə ɣ
aardige	aa r d i g e	a r d ə ɣ ə
aardlagen	aa r d l a g e n	a r t l a ɣ ə n
aardobservatie	aa r d o b s e r v a t ie	a r d ɔ b s ɛ r v a ts i
aardolie	aa r d o l ie	a r d o l i
aards	aa r d s	a r t s
Aardschok	Aa r d s ch o k	a r t s x ɔ k
aardse	aa r d s e	a r t s ə
Aardstralen	Aa r d s t r a l e n	a r t s t r a l ə n
aardverschuiving	aa r d v e r s ch ui v i ng	a r t v ɛ r s x œy v ɪ ŋ
Aarlen	Aa r l e n	a r l ə n
Aarschot	Aa r s ch o t	a r s x ɔ t
Aart	Aa r t	a r t
Aarts	Aa r t s	a r t s
aartsbisschoppelijk	aa r t s b i ss ch o pp e l ij k	a r t s b ɪ s x ɔ p e l ə k
aartsvijand	aa r t s v ij a n d	a r t s v ɛɪ ɑ n t
aarzel	aa r z e l	a r z ə l
Aarzel	Aa r z e l	a r z ə l
aas	aa s	a s
Ab	A b	ɑ p
abantensis	a b a n t e n s i s	a b ɑ n t ɛ n s ɪ s
Abbas	A bb a s	ɑ b ɑ s
abbrevations	a bb r e v a ti o n s	ɑ b r e v a ʃ ɔ n s
Abby	A bb y	ɑ b i
abdij	a b d ij	ɑ b d ɛɪ
Abdildin	A b d i l d i n	ɑ b d ɪ l d ɪ n
Abdoulaye	A b d ou l a y e	ɑ b d ɑu l a i ə
Abercrombie	A b e r c r o m b ie	a b ə r k r ɔ m b i
Abia	A b i a	a b i a
abonnee	a b o nn ee	a b ɔ n e
abonnement	a b o nn e m e n t	a b ɔ n e m ɛ n t
abonnementskosten	a b o nn e m e n t s k o s t e n	a b ɔ n e m ɛ n t s k ɔ s t ə n
abortus	a b o r t u s	a b ɔ r t œ s
abortussen	a b o r t u ss e n	a b ɔ r t œ s ə n
Aboutaleb	A b ou t a l e b	a b ɑu t a l ɛ p
abscis	a b sc i s	ɑ b s ɪ s
absolute	a b s o l u t e	ɑ b s o l y t ə
Absolute	A b s o l u t e	ɑ b s o l y t ə
absoluut	a b s o l uu t	ɑ b s o l y t
absorptie	a b s o r p t ie	ɑ b s ɔ r p ts i
abstracte	a b s t r a c t e	ɑ b s t r ɑ k t ə
abstracter	a b s t r a c t e r	ɑ b s t r ɑ k t ə r
abstractie	a b s t r a c t ie	ɑ b s t r ɑ k s i
absurd	a b s u r d	ɑ b s œ r t
absurt	a b s u r t	ɑ b s œ r t
abt	a b t	ɑ b t
Abusievelijk	A b u s ie v e l ij k	a b y s i v e l ə k
academie	a c a d e m ie	a k a d e m i
Academie	A c a d e m ie	a k a d e m i
academies	a c a d e m ie s	a k a d e m i s
academische	a c a d e m i sch e	a k a d e m i s ə
Academy	A c a d e m y	a k a d e m i
Acanthus	A c a n t h u s	a k ɑ n t h œ s
accaunt	a cc au n t	ɑ k ɑu n t
accent	a cc e n t	ɑ ks ɛ n t
accenten	a cc e n t e n	ɑ ks ɛ n t ə n
accentuering	a cc e n t u e r i ng	ɑ ks ɛ n t y e r ɪ ŋ
accentverdeling	a cc e n t v e r d e l i ng	ɑ ks ɛ n t v ɛ r d e l ɪ ŋ
acceptabel	a cc e p t a b e l	ɑ ks ɛ p t a b ə l
acceptatie	a cc e p t a t ie	ɑ ks ɛ p t a ts i
accepteer	a cc e p t ee r	ɑ ks ɛ p t e r
accepteerd	a cc e p t ee r d	ɑ ks ɛ p t e r t
accepteerde	a cc e p t ee r d e	ɑ ks ɛ p t e r d ə
accepteren	a cc e p t e r e n	ɑ ks ɛ p t e r ə n
Accepteren	A cc e p t e r e n	ɑ ks ɛ p t e r ə n
Acces	A cc e s	ɑ ks ɛ s
Access	A cc e ss	ɑ ks ɛ s
Accessibility	A cc e ss i b i l i t y	ɑ ks ɛ s i b i l i t i
accessoires	a cc e ss oi r e s	ɑ ks ɛ s ʋa r ɛ s
accijns	a cc ij n s	ɑ ks ɛɪ n s
accommodatie	a cc o mm o d a t ie	ɑ k ɔ m o d a ts i
accommodaties	a cc o mm o d a t ie s	ɑ k ɔ m o d a ts i s
accordeon	a cc o r d e o n	ɑ k ɔ r d e ɔ n
Accords	A cc o r d s	ɑ k ɔ r t s
account	a cc ou n t	ɑ k ɑu n t
Accountants	A cc ou n t a n t s	ɑ k ɑu n t ɑ n t s
accountantsbureau	a cc ou n t a n t s b u r eau	ɑ k ɑu n t ɑ n t s b y r o
accountantsverklaring	a cc ou n t a n t s v e r k l a r i ng	ɑ k ɑu n t ɑ n t s v ɛ r k l a r ɪ ŋ
accountmanagers	a cc ou n t m a n a g e r s	ɑ k ɑu n t m a n a ɣ ə r s
accounts	a cc ou n t s	ɑ k ɑu n t s
Accreditatie	A cc r e d i t a t ie	ɑ k r e d i t a ts i
accu	a cc u	ɑ k y
accumulate	a cc u m u l a t e	ɑ k y m y l a t ə
Acda	A c d a	ɑ k d a
Ace	A c e	a s ə
acetylchloride	a c e t y l ch l o r i d e	a s e t i l x l o r i d ə
Ach	A ch	ɑ x
Achlum	A ch l u m	ɑ x l œ m
Achmea	A ch m e a	ɑ x m ɛ a
acht	a ch t	ɑ x t
achtbaan	a ch t b aa n	ɑ x t b a n
achtbaantrein	a ch t b aa n t r ei n	ɑ x t b a n t r ɛɪ n
achtbaantype	a ch t b aa n t y p e	ɑ x t b a n t i p ə
achtbanen	a ch t b a n e n	ɑ x t b a n ə n
achten	a ch t e n	ɑ x t ə n
achtentachtig	a ch t e n t a ch t i g	ɑ x t ɛ n t ɑ x t ə ɣ
achter	a ch t e r	ɑ x t ə r
Achter	A ch t e r	ɑ x t ə r
achteraan	a ch t e r aa n	ɑ x t e r a n
achteraf	a ch t e r a f	ɑ x t e r ɑ f
Achteraf	A ch t e r a f	ɑ x t e r ɑ f
achteras	a ch t e r a s	ɑ x t e r ɑ s
achterban	a ch t e r b a n	ɑ x t ɛ r b ɑ n
achtereenvolgende	a ch t e r ee n v o l g e n d e	ɑ x t e r e n v ɔ l ɣ ə n d ə
achtereenvolgens	a ch t e r ee n v o l g e n s	ɑ x t e r e n v ɔ l ɣ ə n s
achteren	a ch t e r e n	ɑ x t e r ə n
achtergebleven	a ch t e r g e b l e v e n	ɑ x t ɛ r ɣ ə b l e v ə n
achtergelaten	a ch t e r g e l a t e n	ɑ x t ɛ r ɣ ə l a t ə n
achtergrond	a ch t e r g r o n d	ɑ x t ɛ r ɣ r ɔ n t
achtergronden	a ch t e r g r o n d e n	ɑ x t ɛ r ɣ r ɔ n d ə n
achtergrondinformatie	a ch t e r g r o n d i n f o r m a t ie	ɑ x t ɛ r ɣ r ɔ n d ɪ n f ɔ r m a ts i
Achtergrondinformatie	A ch t e r g r o n d i n f o r m a t ie	ɑ x t ɛ r ɣ r ɔ n d ɪ n f ɔ r m a ts i
Achtergrondstudies	A ch t e r g r o n d s t u d ie s	ɑ x t ɛ r ɣ r ɔ n t s t y d i s
achtergrondzang	a ch t e r g r o n d z a ng	ɑ x t ɛ r ɣ r ɔ n t z ɑ ŋ
achterhaald	a ch t e r h aa l d	ɑ x t e r h a l t
achterhaalde	a ch t e r h aa l d e	ɑ x t e r h a l d ə
achterhalen	a ch t e r h a l e n	ɑ x t e r h a l ə n
Achterhoek	A ch t e r h oe k	ɑ x t e r h u k
achterhoofd	a ch t e r h oo f d	ɑ x t e r h o f t
achterin	a ch t e r i n	ɑ x t e r ɪ n
achterkant	a ch t e r k a n t	ɑ x t ɛ r k ɑ n t
achterkleinzoon	a ch t e r k l ei n z oo n	ɑ x t ɛ r k l ɛɪ n z o n
achterlaat	a ch t e r l aa t	ɑ x t ɛ r l a t
achterland	a ch t e r l a n d	ɑ x t ɛ r l ɑ n t
achterliggende	a ch t e r l i gg e n d e	ɑ x t ɛ r l ɪ ɣ ə n d ə
achterlijk	a ch t e r l ij k	ɑ x t ɛ r l ə k
achterlijke	a ch t e r l ij k e	ɑ x t ɛ r l ə k ə
achterover	a ch t e r o v e r	ɑ x t e r o v ə r
achterpaden	a ch t e r p a d e n	ɑ x t ɛ r p a d ə n
achtersjtandj	a ch t e r sj t a n d j	ɑ x t ɛ r ʃ t ɑ n d j
achterstand	a ch t e r s t a n d	ɑ x t ɛ r s t ɑ n t
achterstandswijken	a ch t e r s t a n d s w ij k e n	ɑ x t ɛ r s t ɑ n t s ʋ ɛɪ k ə n
achterstevoren	a ch t e r s t e v o r e n	ɑ x t ɛ r s t e v o r ə n
achteruit	a ch t e r ui t	ɑ x t e r œy t
achtervoeten	a ch t e r v oe t e n	ɑ x t ɛ r v u t ə n
achtervoetlengte	a ch t e r v oe t l e ng t e	ɑ x t ɛ r v u t l ɛ ŋ t ə
achtervolgd	a ch t e r v o l g d	ɑ x t ɛ r v ɔ l ɣ t
