originals	tokenized	transliterated
aangifteformulier	aangifteformulier	anɣɪftefɔrmylir
aangrenzende	aangrenzende	anɣrɛnzɛndə
aangrijpende	aangrijpende	anɣrɛɪpɛndə
Aangroei	Aangroei	anɣrui
aangroeiden	aangroeiden	anɣruidən
aanhang	aanhang	anhɑŋ
aanhanger	aanhanger	anhɑŋər
aanhangers	aanhangers	anhɑŋərs
aanhangig	aanhangig	anhɑŋəɣ
aanhouden	aanhouden	anhɑudən
aanhoudende	aanhoudende	anhɑudɛndə
aanhouding	aanhouding	anhɑudɪŋ
aanhoudingen	aanhoudingen	anhɑudɪŋən
aankan	aankan	aŋkɑn
aanklachten	aanklachten	aŋklɑxtən
aankleding	aankleding	aŋkledɪŋ
aankloppen	aankloppen	aŋklɔpən
aanknopingspunten	aanknopingspunten	aŋknopɪŋspœntən
aankomend	aankomend	aŋkomɛnt
aankomende	aankomende	aŋkomɛndə
aankomst	aankomst	aŋkɔmst
Aankomst	Aankomst	aŋkɔmst
aankomsttijden	aankomsttijden	aŋkɔmstɛɪdən
aankomt	aankomt	aŋkɔmt
aankondiging	aankondiging	aŋkɔndiɣɪŋ
aankoop	aankoop	aŋkop
Aankoop	Aankoop	aŋkop
aankopen	aankopen	aŋkopən
aankwamen	aankwamen	aŋkʋamən
aanleg	aanleg	anlɛɣ
Aanleg	Aanleg	anlɛɣ
aanleggen	aanleggen	anlɛɣən
aanlegging	aanlegging	anlɛɣɪŋ
aanleiding	aanleiding	anlɛɪdɪŋ
Aanleiding	Aanleiding	anlɛɪdɪŋ
aanleren	aanleren	anlerən
aanleunen	aanleunen	anlønən
aanliggen	aanliggen	anlɪɣən
aanloop	aanloop	anlop
aanmaakt	aanmaakt	anmakt
aanmaken	aanmaken	anmakən
aanmeld	aanmeld	anmɛlt
aanmeldcentrum	aanmeldcentrum	anmɛltsɛntrœm
aanmelden	aanmelden	anmɛldən
Aanmelden	Aanmelden	anmɛldən
aanmelding	aanmelding	anmɛldɪŋ
aanmeldingen	aanmeldingen	anmɛldɪŋən
aanmeldingsformulier	aanmeldingsformulier	anmɛldɪŋsfɔrmylir
aanmerking	aanmerking	anmɛrkɪŋ
aanmoedigingspremie	aanmoedigingspremie	anmudiɣɪŋspremi
aannam	aannam	anɑm
aanname	aanname	anamə
aanneemt	aanneemt	anemt
aannemelijk	aannemelijk	anemelək
aannemen	aannemen	anemən
aannemers	aannemers	anemɛrs
Aannemingsbedrijf	Aannemingsbedrijf	anemɪŋsbədrɛɪf
aanpak	aanpak	anpɑk
aanpakken	aanpakken	anpɑkən
aanpassen	aanpassen	anpɑsən
aanpassing	aanpassing	anpɑsɪŋ
aanpassingen	aanpassingen	anpɑsɪŋən
aanplanten	aanplanten	anplɑntən
aanraden	aanraden	anradən
aanrader	aanrader	anradər
aanraken	aanraken	anrakən
aanraking	aanraking	anrakɪŋ
aanrecht	aanrecht	anrɛxt
aanrennen	aanrennen	anrɛnən
aanrijding	aanrijding	anrɛɪdɪŋ
aanschaf	aanschaf	ansxɑf
aanscherpen	aanscherpen	ansxɛrpən
aanschouwt	aanschouwt	ansxɑuʋt
aanslaan	aanslaan	anslan
aanslag	aanslag	anslɑɣ
aanslagen	aanslagen	anslaɣən
aanslagstuk	aanslagstuk	anslɑɣstœk
aanslepende	aanslepende	anslepɛndə
aansloot	aansloot	anslot
aansluit	aansluit	anslœyt
aansluiten	aansluiten	anslœytən
aansluitend	aansluitend	anslœytɛnt
Aansluitend	Aansluitend	anslœytɛnt
aansluiting	aansluiting	anslœytɪŋ
aanspraak	aanspraak	ansprak
aansprakelijk	aansprakelijk	ansprakelək
aansprakelijkheid	aansprakelijkheid	ansprakeləkhɛɪt
Aansprakelijkheidsrecht	Aansprakelijkheidsrecht	ansprakeləkhɛɪtsrɛxt
aansprakelijkheidsverzekering	aansprakelijkheidsverzekering	ansprakeləkhɛɪtsvɛrzekerɪŋ
aanspreekt	aanspreekt	ansprekt
aansprekend	aansprekend	ansprekɛnt
aansprekende	aansprekende	ansprekɛndə
aanstaande	aanstaande	anstandə
aanstaat	aanstaat	anstat
aanstelling	aanstelling	anstɛlɪŋ
aanstormend	aanstormend	anstɔrmɛnt
aantal	aantal	antɑl
Aantal	Aantal	antɑl
aantallen	aantallen	antɑlən
aantasten	aantasten	antɑstən
aantasting	aantasting	antɑstɪŋ
aantijging	aantijging	antɛɪɣɪŋ
aantoonbaar	aantoonbaar	antonbar
aantreffen	aantreffen	antrɛfən
aantreft	aantreft	antrɛft
aantrekkelijk	aantrekkelijk	antrɛkelək
aantrekkelijke	aantrekkelijke	antrɛkeləkə
aantrekkelijkere	aantrekkelijkere	antrɛkeləkerə
aantrekken	aantrekken	antrɛkən
aantrekkingskracht	aantrekkingskracht	antrɛkɪŋskrɑxt
aantrekt	aantrekt	antrɛkt
aantrof	aantrof	antrɔf
aanvaard	aanvaard	anvart
aanvaardbare	aanvaardbare	anvartbarə
aanvaarden	aanvaarden	anvardən
aanvaardt	aanvaardt	anvart
aanval	aanval	anvɑl
aanvallen	aanvallen	anvɑlən
aanvallend	aanvallend	anvɑlɛnt
aanvaller	aanvaller	anvɑlər
aanvalslinie	aanvalslinie	anvɑlslini
aanvalt	aanvalt	anvɑlt
aanvang	aanvang	anvɑŋ
Aanvang	Aanvang	anvɑŋ
aanvangen	aanvangen	anvɑŋən
aanvankelijk	aanvankelijk	anvɑŋkelək
Aanvankelijk	Aanvankelijk	anvɑŋkelək
aanvaring	aanvaring	anvarɪŋ
aanverwante	aanverwante	anverʋɑntə
aanvoelt	aanvoelt	anvult
Aanvoerder	Aanvoerder	anvurdər
aanvraag	aanvraag	anvraɣ
aanvraagfomulier	aanvraagfomulier	anvraɣfomylir
aanvraagformulier	aanvraagformulier	anvraɣfɔrmylir
Aanvraagformulier	Aanvraagformulier	anvraɣfɔrmylir
aanvragen	aanvragen	anvraɣən
aanvragers	aanvragers	anvraɣərs
aanvullend	aanvullend	anvœlɛnt
aanvullende	aanvullende	anvœlɛndə
aanvulling	aanvulling	anvœlɪŋ
aanvullingen	aanvullingen	anvœlɪŋən
aanwend	aanwend	anʋɛnt
aanwezig	aanwezig	anʋezəɣ
Aanwezig	Aanwezig	anʋezəɣ
aanwezige	aanwezige	anʋezəɣə
aanwezigen	aanwezigen	anʋezəɣən
aanwezigheid	aanwezigheid	anʋezigɛɪt
aanwijsbare	aanwijsbare	anʋɛɪsbarə
aanwijzende	aanwijzende	anʋɛɪzɛndə
aanwijzing	aanwijzing	anʋɛɪzɪŋ
aanwijzingen	aanwijzingen	anʋɛɪzɪŋən
aanwijzingsgebied	aanwijzingsgebied	anʋɛɪzɪŋsɣəbit
aanwinst	aanwinst	anʋɪnst
aanzet	aanzet	anzɛt
aanzetstaal	aanzetstaal	anzɛtstal
aanzetten	aanzetten	anzɛtən
aanzicht	aanzicht	anzɪxt
aanzien	aanzien	anzin
aanzienlijk	aanzienlijk	anzinlək
aanzienlijke	aanzienlijke	anzinləkə
Aanzit	Aanzit	anzɪt
aap	aap	ap
Aar	Aar	ar
aarappelschijfjes	aarappelschijfjes	arɑpɛlsxɛɪfjɛs
aard	aard	art
aard-gevoelens	aard-gevoelens	ardɣəvulɛns
aardappels	aardappels	ardɑpɛls
aardappelschijfjes	aardappelschijfjes	ardɑpɛlsxɛɪfjɛs
aardbeien	aardbeien	artbɛɪən
aarde	aarde	ardə
Aarde	Aarde	ardə
aardewerkscherven	aardewerkscherven	ardeʋɛrksxɛrvən
aardgas	aardgas	artɣɑs
Aardgasbaten	Aardgasbaten	artɣɑsbatən
aardig	aardig	ardəɣ
aardige	aardige	ardəɣə
aardlagen	aardlagen	artlaɣən
aardobservatie	aardobservatie	ardɔbsɛrvatsi
aardolie	aardolie	ardoli
aards	aards	arts
Aardschok	Aardschok	artsxɔk
aardse	aardse	artsə
Aardstralen	Aardstralen	artstralən
aardverschuiving	aardverschuiving	artvɛrsxœyvɪŋ
Aarlen	Aarlen	arlən
Aarschot	Aarschot	arsxɔt
Aart	Aart	art
Aarts	Aarts	arts
aartsbisschoppelijk	aartsbisschoppelijk	artsbɪsxɔpelək
aartsvijand	aartsvijand	artsvɛɪɑnt
aarzel	aarzel	arzəl
Aarzel	Aarzel	arzəl
aas	aas	as
Ab	Ab	ɑp
abantensis	abantensis	abɑntɛnsɪs
Abbas	Abbas	ɑbɑs
abbrevations	abbrevations	ɑbrevaʃɔns
Abby	Abby	ɑbi
abdij	abdij	ɑbdɛɪ
Abdildin	Abdildin	ɑbdɪldɪn
Abdoulaye	Abdoulaye	ɑbdɑulaiə
Abercrombie	Abercrombie	abərkrɔmbi
Abia	Abia	abia
abonnee	abonnee	abɔne
abonnement	abonnement	abɔnemɛnt
abonnementskosten	abonnementskosten	abɔnemɛntskɔstən
abortus	abortus	abɔrtœs
abortussen	abortussen	abɔrtœsən
Aboutaleb	Aboutaleb	abɑutalɛp
abscis	abscis	ɑbsɪs
absolute	absolute	ɑbsolytə
Absolute	Absolute	ɑbsolytə
absoluut	absoluut	ɑbsolyt
absorptie	absorptie	ɑbsɔrptsi
abstracte	abstracte	ɑbstrɑktə
abstracter	abstracter	ɑbstrɑktər
abstractie	abstractie	ɑbstrɑksi
absurd	absurd	ɑbsœrt
absurt	absurt	ɑbsœrt
abt	abt	ɑbt
Abusievelijk	Abusievelijk	abysivelək
academie	academie	akademi
Academie	Academie	akademi
academies	academies	akademis
academische	academische	akademisə
Academy	Academy	akademi
Acanthus	Acanthus	akɑnthœs
accaunt	accaunt	ɑkɑunt
accent	accent	ɑksɛnt
accenten	accenten	ɑksɛntən
accentuering	accentuering	ɑksɛntyerɪŋ
accentverdeling	accentverdeling	ɑksɛntvɛrdelɪŋ
acceptabel	acceptabel	ɑksɛptabəl
acceptatie	acceptatie	ɑksɛptatsi
accepteer	accepteer	ɑksɛpter
accepteerd	accepteerd	ɑksɛptert
accepteerde	accepteerde	ɑksɛpterdə
accepteren	accepteren	ɑksɛpterən
Accepteren	Accepteren	ɑksɛpterən
Acces	Acces	ɑksɛs
Access	Access	ɑksɛs
Accessibility	Accessibility	ɑksɛsibiliti
accessoires	accessoires	ɑksɛsʋarɛs
accijns	accijns	ɑksɛɪns
accommodatie	accommodatie	ɑkɔmodatsi
accommodaties	accommodaties	ɑkɔmodatsis
accordeon	accordeon	ɑkɔrdeɔn
Accords	Accords	ɑkɔrts
account	account	ɑkɑunt
Accountants	Accountants	ɑkɑuntɑnts
accountantsbureau	accountantsbureau	ɑkɑuntɑntsbyro
accountantsverklaring	accountantsverklaring	ɑkɑuntɑntsvɛrklarɪŋ
accountmanagers	accountmanagers	ɑkɑuntmanaɣərs
accounts	accounts	ɑkɑunts
Accreditatie	Accreditatie	ɑkreditatsi
accu	accu	ɑky
accumulate	accumulate	ɑkymylatə
Acda	Acda	ɑkda
Ace	Ace	asə
acetylchloride	acetylchloride	asetilxloridə
Ach	Ach	ɑx
Achlum	Achlum	ɑxlœm
Achmea	Achmea	ɑxmɛa
acht	acht	ɑxt
achtbaan	achtbaan	ɑxtban
achtbaantrein	achtbaantrein	ɑxtbantrɛɪn
achtbaantype	achtbaantype	ɑxtbantipə
achtbanen	achtbanen	ɑxtbanən
achten	achten	ɑxtən
achtentachtig	achtentachtig	ɑxtɛntɑxtəɣ
achter	achter	ɑxtər
Achter	Achter	ɑxtər
achteraan	achteraan	ɑxteran
achteraf	achteraf	ɑxterɑf
Achteraf	Achteraf	ɑxterɑf
achteras	achteras	ɑxterɑs
achterban	achterban	ɑxtɛrbɑn
achtereenvolgende	achtereenvolgende	ɑxterenvɔlɣəndə
achtereenvolgens	achtereenvolgens	ɑxterenvɔlɣəns
achteren	achteren	ɑxterən
achtergebleven	achtergebleven	ɑxtɛrɣəblevən
achtergelaten	achtergelaten	ɑxtɛrɣəlatən
achtergrond	achtergrond	ɑxtɛrɣrɔnt
achtergronden	achtergronden	ɑxtɛrɣrɔndən
achtergrondinformatie	achtergrondinformatie	ɑxtɛrɣrɔndɪnfɔrmatsi
Achtergrondinformatie	Achtergrondinformatie	ɑxtɛrɣrɔndɪnfɔrmatsi
Achtergrondstudies	Achtergrondstudies	ɑxtɛrɣrɔntstydis
achtergrondzang	achtergrondzang	ɑxtɛrɣrɔntzɑŋ
achterhaald	achterhaald	ɑxterhalt
achterhaalde	achterhaalde	ɑxterhaldə
achterhalen	achterhalen	ɑxterhalən
Achterhoek	Achterhoek	ɑxterhuk
achterhoofd	achterhoofd	ɑxterhoft
achterin	achterin	ɑxterɪn
achterkant	achterkant	ɑxtɛrkɑnt
achterkleinzoon	achterkleinzoon	ɑxtɛrklɛɪnzon
achterlaat	achterlaat	ɑxtɛrlat
achterland	achterland	ɑxtɛrlɑnt
achterliggende	achterliggende	ɑxtɛrlɪɣəndə
achterlijk	achterlijk	ɑxtɛrlək
achterlijke	achterlijke	ɑxtɛrləkə
achterover	achterover	ɑxterovər
achterpaden	achterpaden	ɑxtɛrpadən
achtersjtandj	achtersjtandj	ɑxtɛrʃtɑndj
achterstand	achterstand	ɑxtɛrstɑnt
achterstandswijken	achterstandswijken	ɑxtɛrstɑntsʋɛɪkən
achterstevoren	achterstevoren	ɑxtɛrstevorən
achteruit	achteruit	ɑxterœyt
achtervoeten	achtervoeten	ɑxtɛrvutən
achtervoetlengte	achtervoetlengte	ɑxtɛrvutlɛŋtə
achtervolgd	achtervolgd	ɑxtɛrvɔlɣt
achtervolgers	achtervolgers	ɑxtɛrvɔlɣərs
achtervolging	achtervolging	ɑxtɛrvɔlɣɪŋ
achterwege	achterwege	ɑxterʋeɣə
achterwielen	achterwielen	ɑxterʋilən
achterzijde	achterzijde	ɑxtɛrzɛɪdə
achtste	achtste	ɑxtstə
achttien	achttien	ɑxtin
achttiende-eeuwse	achttiende-eeuwse	ɑxtindeeuʋsə
achtuurjournaal	achtuurjournaal	ɑxtyrjɑurnal
Acid	Acid	asɪt
Acid-testen	Acid-testen	asidtɛstən
acne	acne	ɑknə
acolieten	acolieten	akolitən
Acolieten	Acolieten	akolitən
acquisitie	acquisitie	akʋisitsi
Acretia	Acretia	ɑkretia
Acrobat	Acrobat	ɑkrobɑt
Act	Act	ɑkt
acteeromgeving	acteeromgeving	ɑkterɔmɣəvɪŋ
acteren	acteren	ɑkterən
acteur	acteur	ɑktør
acteurs	acteurs	ɑktørs
actie	actie	ɑksi
Actie	Actie	ɑksi
actief	actief	ɑktif
Actief	Actief	ɑktif
actiegroep	actiegroep	ɑktsiɣrup
actiegroepen	actiegroepen	ɑktsiɣrupən
acties	acties	ɑksis
actiespellen	actiespellen	ɑktsispɛlən
actiestrategieën	actiestrategieën	ɑktsistrateɣiən
actieve	actieve	ɑktsivə
Active	Active	ɑktivə
activeren	activeren	ɑktiverən
activering	activering	ɑktiverɪŋ
activisme	activisme	ɑktivɪsmə
activiteit	activiteit	ɑktivitɛɪt
activiteiten	activiteiten	ɑktivitɛɪtən
Activiteiten	Activiteiten	ɑktivitɛɪtən
activiteitencentrum	activiteitencentrum	ɑktivitɛɪtɛnsɛntrœm
actrice	actrice	ɑktrisə
actualiseren	actualiseren	ɑktyaliserən
actualisering	actualisering	ɑktyaliserɪŋ
actualiteit	actualiteit	ɑktyalitɛɪt
actualiteitenprogramma	actualiteitenprogramma	ɑktyalitɛɪtɛnprɔɣrɑma
Actueel	Actueel	ɑktyel
actuele	actuele	ɑktyelə
Actuele	Actuele	ɑktyelə
actule	actule	ɑktylə
acupunctuurpunten	acupunctuurpunten	akypœnktyrpœntən
acylhalides	acylhalides	asilhalidɛs
Ad	Ad	ɑt
Adam	Adam	adɑm
Adamas	Adamas	adamɑs
Adams	Adams	adɑms
adaptatie	adaptatie	adɑptatsi
Adapter	Adapter	adɑptər
Add	Add	ɑd
adder	adder	ɑdər
Adder	Adder	ɑdər
adel	adel	adəl
Adel	Adel	adəl
Adela	Adela	adela
adem	adem	adɛm
ademende	ademende	ademɛndə
ademlucht	ademlucht	adɛmlœxt
ademoefeningen	ademoefeningen	ademufenɪŋən
ademtop	ademtop	adɛmtɔp
adequaat	adequaat	adekʋat
adequate	adequate	adekʋatə
adhv	adhv	adhf
Adidas	Adidas	adidɑs
adieu	adieu	aɟø
Adinda	Adinda	adɪnda
adjudant	adjudant	adjydɑnt
Adjudant	Adjudant	adjydɑnt
administrateur	administrateur	ɑtminɪstratør
administratief	administratief	ɑtminɪstratif
Administratiegebouw	Administratiegebouw	ɑtminɪstratsiɣəbɑuʋ
administratieve	administratieve	ɑtminɪstratsivə
Administratieve	Administratieve	ɑtminɪstratsivə
Admira	Admira	ɑtmira
admire	admire	ɑtmirə
Adobe	Adobe	adobə
Adolf	Adolf	adɔlf
adrenaline	adrenaline	ɑdrenalinə
adres	adres	ɑdrɛs
adresgegevens	adresgegevens	ɑdrɛsɣəɣəvɛns
adressen	adressen	ɑdrɛsən
Adri	Adri	ɑdri
Adriaan	Adriaan	ɑdrian
Adriaanse	Adriaanse	ɑdriansə
Adriaenken	Adriaenken	ɑdriaɛŋkən
Adriana	Adriana	ɑdriana
Adrianaplein	Adrianaplein	ɑdrianɑplɛɪn
ads	ads	ɑts
Advanced	Advanced	ɑtvɑnsɛt
advent	advent	ɑtvɛnt
Adverteerders	Adverteerders	ɑtvɛrterdɛrs
adverteerdersmarkt	adverteerdersmarkt	ɑtvɛrterdɛrsmɑrkt
advertentie	advertentie	ɑtvɛrtɛntsi
advertentieborden	advertentieborden	ɑtvɛrtɛntsibɔrdən
advertentiecontracten	advertentiecontracten	ɑtvɛrtɛntsikɔntrɑktən
advertentiepublicist	advertentiepublicist	ɑtvɛrtɛntsipœblisɪst
Advertenties	Advertenties	ɑtvɛrtɛntsis
adverteren	adverteren	ɑtvɛrterən
Advice	Advice	ɑtvisə
advies	advies	ɑtvis
Advies	Advies	ɑtvis
adviesbureau	adviesbureau	ɑtvisbyro
Adviesbureau	Adviesbureau	ɑtvisbyro
adviespraktijk	adviespraktijk	ɑtvisprɑktɛɪk
adviesprijs	adviesprijs	ɑtvisprɛɪs
adviesverlaging	adviesverlaging	ɑtvisvɛrlaɣɪŋ
adviezen	adviezen	ɑtvizən
adviseert	adviseert	ɑtvisert
adviseren	adviseren	ɑtviserən
adviserende	adviserende	ɑtviserɛndə
adviseur	adviseur	ɑtvisør
adviseurs	adviseurs	ɑtvisørs
Adviseurs	Adviseurs	ɑtvisørs
advocaat	advocaat	ɑtvokat
advocaat-generaal	advocaat-generaal	ɑtvokatɣəneral
advocaten	advocaten	ɑtvokatən
Advocaten	Advocaten	ɑtvokatən
advocatuur	advocatuur	ɑtvokatyr
Aedes	Aedes	aedɛs
Aegon	Aegon	aeɣɔn
aegyptiaca	aegyptiaca	aeɣiptiaka
aegyptiacae	aegyptiacae	aeɣiptiakaə
aerobics	aerobics	aerobɪks
Aerobics	Aerobics	aerobɪks
aërosolen	aërosolen	aerosolən
Aerts	Aerts	aɛrts
af	af	ɑf
Af	Af	ɑf
Afab	Afab	afɑp
afb	afb	ɑfp
afbeelding	afbeelding	ɑfbeldɪŋ
Afbeelding	Afbeelding	ɑfbeldɪŋ
afbeeldingen	afbeeldingen	ɑfbeldɪŋən
Afbeeldingen	Afbeeldingen	ɑfbeldɪŋən
afbouw	afbouw	ɑfbɑuʋ
afbouwen	afbouwen	ɑfbɑuʋən
afbraak	afbraak	ɑfbrak
Afbraakdreiging	Afbraakdreiging	ɑfbrakdrɛɪɣɪŋ
afbreken	afbreken	ɑfbrekən
afbreuk	afbreuk	ɑfbrøk
afbreukbagage	afbreukbagage	ɑfbrøkbaɣaɣə
afbreukrisico	afbreukrisico	ɑfbrøkrisiko
afd	afd	ɑft
afdalen	afdalen	ɑfdalən
afdaling	afdaling	ɑfdalɪŋ
afdekdeken	afdekdeken	ɑfdɛkdekən
afdeling	afdeling	ɑfdelɪŋ
afdelingen	afdelingen	ɑfdelɪŋən
afdelingssturen	afdelingssturen	ɑfdelɪŋstyrən
Afdelingsvoorzitters	Afdelingsvoorzitters	ɑfdelɪŋsvorzɪtɛrs
afdichtring	afdichtring	ɑfdɪxtrɪŋ
afdracht	afdracht	ɑfdrɑxt
afdrukken	afdrukken	ɑfdrœkən
afdrukprincipe	afdrukprincipe	ɑfdrœkprɪnsipə
afdwingbaar	afdwingbaar	ɑfdʋɪŋbar
afdwingen	afdwingen	ɑfdʋɪŋən
Afellay	Afellay	afɛleɪ
affaire	affaire	ɑfɑɪrə
affiche	affiche	ɑfiʃə
afficheert	afficheert	ɑfiʃert
affiliate	affiliate	ɑfiliatə
affuit	affuit	ɑfœyt
afgebakend	afgebakend	ɑfɣəbakɛnt
afgebeeld	afgebeeld	ɑfɣəbelt
afgeblazen	afgeblazen	ɑfɣəblazən
afgeboekt	afgeboekt	ɑfɣəbukt
afgebouwd	afgebouwd	ɑfɣəbɑuʋt
afgebroken	afgebroken	ɑfɣəbrokən
Afgedankte	Afgedankte	ɑfɣədɑŋktə
afgedekt	afgedekt	ɑfɣədɛkt
afgedragen	afgedragen	ɑfɣədraɣən
afgedrukt	afgedrukt	ɑfɣədrœkt
afgegeven	afgegeven	ɑfɣəɣəvən
afgegooid	afgegooid	ɑfɣəɣoit
afgehakt	afgehakt	ɑfɣəhɑkt
afgehandeld	afgehandeld	ɑfɣəhɑndɛlt
afgekeurd	afgekeurd	ɑfɣəkørt
afgekort	afgekort	ɑfɣəkɔrt
afgelegd	afgelegd	ɑfɣəlɛɣt
afgelegen	afgelegen	ɑfɣəleɣən
afgeleid	afgeleid	ɑfɣəlɛɪt
afgeleverd	afgeleverd	ɑfɣəlevɛrt
afgelezen	afgelezen	ɑfɣəlezən
afgelopen	afgelopen	ɑfɣəlopən
Afgelopen	Afgelopen	ɑfɣəlopən
afgeneukt	afgeneukt	ɑfɣənøkt
afgenomen	afgenomen	ɑfɣənomən
afgepakt	afgepakt	ɑfɣəpɑkt
afgepaste	afgepaste	ɑfɣəpɑstə
afgerond	afgerond	ɑfɣərɔnt
afgeschaft	afgeschaft	ɑfɣəsxɑft
áfgeschaft	áfgeschaft	ɑfɣəsxɑft
afgescheurd	afgescheurd	ɑfɣəsxørt
afgeslacht	afgeslacht	ɑfɣəslɑxt
afgeslankte	afgeslankte	ɑfɣəslɑŋktə
afgesloten	afgesloten	ɑfɣəslotən
afgesneden	afgesneden	ɑfɣəsnedən
afgespeeld	afgespeeld	ɑfɣəspelt
afgesproken	afgesproken	ɑfɣəsprokən
afgestaan	afgestaan	ɑfɣəstan
afgestemd	afgestemd	ɑfɣəstɛmt
afgestoken	afgestoken	ɑfɣəstokən
